time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-11T06:40:52.470Z,17.941,-66.9015,9,2.95,md,23,198,0.0407,0.12,pr,pr2021101001,2021-04-11T14:10:11.648Z,"Puerto Rico region",earthquake,0.48,0.44,0.25,19,reviewed,pr,pr
2021-04-11T06:24:22.167Z,24.2972,126.2915,10,4.8,mb,,117,2.995,0.88,us,us6000e0rm,2021-04-11T06:50:10.040Z,"114 km ESE of Hirara, Japan",earthquake,8.5,1.9,0.077,51,reviewed,us,us
2021-04-11T06:18:59.610Z,18.8908,-67.607,89,3.16,md,10,204,0.8848,0.38,pr,pr2021101002,2021-04-11T14:16:17.702Z,"69 km NW of San Antonio, Puerto Rico",earthquake,3.79,4.48,0.18,8,reviewed,pr,pr
2021-04-11T06:08:53.620Z,19.2185,-155.436333333333,33.27,3.13,md,57,126,,0.12,hv,hv72421267,2021-04-12T06:10:30.277Z,"4 km ENE of Pāhala, Hawaii",earthquake,0.42,0.53,0.0836353520216762,24,reviewed,hv,hv
2021-04-11T05:37:18.703Z,15.768,-93.9052,78.8,4,mb,,172,1.775,0.53,us,us6000e0rb,2021-04-11T06:29:22.040Z,"22 km SW of Cabeza de Toro, Mexico",earthquake,6.6,12.1,0.085,37,reviewed,us,us
2021-04-11T05:01:44.510Z,19.6946666666667,-156.640166666667,5.41,2.78,ml,55,195,,0.19,hv,hv72421197,2021-04-11T17:23:07.991Z,"67 km W of Kailua-Kona, Hawaii",earthquake,1.36,1.86,0.0990556646037666,10,reviewed,hv,hv
2021-04-11T04:21:02.898Z,-9.2593,-71.3912,558.32,4.1,mb,,76,1.999,0.64,us,us6000e0qs,2021-04-11T04:35:40.040Z,"139 km SSW of Tarauacá, Brazil",earthquake,11.4,7.8,0.048,119,reviewed,us,us
2021-04-11T03:58:53.830Z,60.0905,-150.2976,10,2.8,ml,,,,0.91,ak,ak0214n3ewfu,2021-04-11T04:23:55.709Z,"45 km NE of Fox River, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-04-11T03:42:00.899Z,28.357,-103.3707,10,3.2,ml,,146,1.007,0.66,us,us6000e0qk,2021-04-11T03:52:09.040Z,"53 km NE of Hércules, Mexico",earthquake,5.4,2,0.115,20,reviewed,us,us
2021-04-11T03:02:03.639Z,39.2916,-106.7555,3.44,2.8,ml,,81,1.018,0.56,us,us6000e0qc,2021-04-11T16:35:39.117Z,"9 km WSW of Norrie, Colorado",earthquake,3.4,2.1,0.04,81,reviewed,us,us
2021-04-11T01:42:26.345Z,10.9855,-86.4255,23.98,4.6,mb,,175,0.909,0.91,us,us6000e0q5,2021-04-11T01:59:53.040Z,"67 km WSW of San Juan del Sur, Nicaragua",earthquake,3.2,6,0.036,226,reviewed,us,us
2021-04-11T01:21:06.752Z,-5.7041,153.1678,20.61,4.9,mb,,102,1.805,0.52,us,us6000e0q7,2021-04-11T02:21:41.040Z,"180 km SSE of Kokopo, Papua New Guinea",earthquake,5.9,5.7,0.081,50,reviewed,us,us
2021-04-11T00:17:13.535Z,38.2397,20.6424,10,4.2,mb,,127,1.468,1.13,us,us6000e0pz,2021-04-11T00:32:11.040Z,"1 km SSW of Sámi, Greece",earthquake,4.8,1.9,0.152,12,reviewed,us,us
